ProductID,Name,Price,Category
1,Wireless Mouse,25.99,Electronics
2,Office Chair,149.49,Furniture
3,HD Monitor,299.99,Electronics
4,Desk Lamp,34.95,Furniture
5,Mechanical Keyboard,129.99,Electronics
6,Bluetooth Speaker,79.99,Electronics

7,Notebook,5.49,Stationery
8,Ballpoint Pen,2.99,Stationery
9,Standing Desk,499.00,Furniture
10,Smartphone,899.99,Electronics

11,USB-C Cable,14.99,Accessories
12,Noise-Canceling Headphones,199.99,Electronics
13,Leather Wallet,45.00,Accessories
14,Sketchbook,12.50,Stationery

15,Power Bank,59.99,Electronics
16,4K Television,1199.99,Electronics
17,Stapler,7.99,Stationery
